,X,Y,Tm,P,tree_genus,BURNCLAS,PredictedClass
0,-137.281899024297,66.8540167650462,13.1,0.0,0,1.0,0
1,-132.664987913966,67.7808294916208,10.5,33.3,0,1.0,0
2,-134.437550001211,66.241071388991,8.4,95.9,1,1.0,0
3,-136.47859521273,65.6199272375705,13.1,0.0,0,1.0,1
4,-139.26734924961,64.3740348973587,9.8,20.5,1,1.0,0
5,-140.041212365847,63.493175289696,9.8,20.5,0,1.0,1
6,-132.656086931569,65.8597539419139,10.5,33.3,1,1.0,0
7,-132.506666715885,65.7523593489664,10.5,33.3,1,1.0,0
8,-138.576049617856,63.7336470166727,9.8,20.5,1,1.0,1
9,-128.280373059546,66.5117285660291,13.1,49.2,0,1.0,0
10,-127.806548986087,66.4466558736757,13.4,16.5,0,1.0,0
11,-136.306535206466,64.0911497336907,14.2,95.9,0,1.0,0
12,-130.736286094776,65.6336064395122,13.4,16.5,0,1.0,0
13,-131.172621403753,65.4879727556716,13.4,16.5,0,1.0,0
14,-138.774152972334,62.4946659226336,6.2,21.4,0,1.0,1
15,-126.218041287823,66.128481012568,9.9,9.3,0,1.0,0
16,-134.474750666117,63.0645935525023,14.2,95.9,1,1.0,0
17,-123.900524123641,65.6844491677726,9.2,5.5,0,1.0,0
18,-123.095826412431,65.7901649247445,8.8,5.5,0,1.0,0
19,-135.97952616254,62.3197438290355,13.2,95.9,1,1.0,0
20,-124.958656814502,64.886388513018,16.7,81.0,1,1.0,0
21,-135.043799780458,61.7221160053699,8.3,22.5,0,1.0,1
22,-125.166597621576,64.2670000650388,12.9,15.4,1,1.0,1
23,-119.058529912971,65.3810441775649,15.1,77.0,0,1.0,0
24,-116.507230435113,65.5423075299841,18.7,60.0,0,1.0,0
25,-116.024112874996,65.5932703379106,18.7,60.0,0,1.0,0
26,-130.645172978148,62.0952804022511,8.8,94.5,0,1.0,0
27,-121.637536372315,64.2226645207098,8.8,5.5,0,1.0,0
28,-118.751024858748,64.6486721909829,18.7,60.0,0,1.0,0
29,-116.334766507636,64.9187510301527,18.7,60.0,0,1.0,0
30,-120.478552562725,63.9470958616417,17.9,40.0,1,1.0,1
31,-122.114007415904,63.5469413574233,14.6,81.4,1,1.0,0
32,-129.298100650634,59.6800961379895,13.3,93.0,1,1.0,0
33,-116.553470348749,62.6151874639573,17.5,60.0,1,1.0,1
34,-109.876043050054,63.0893871067862,16.6,31.1,0,1.0,0
35,-116.30787180402,62.1146487906177,12.4,60.0,0,1.0,1
36,-111.507440828328,62.8155899499486,16.5,55.2,0,1.0,0
37,-115.078974810782,62.1431791268971,18.2,60.0,1,1.0,1
38,-115.213480041754,61.9020085346306,18.2,60.0,0,1.0,1
39,-108.941915947291,62.372612317218,16.6,31.1,0,1.0,1
40,-109.856136442645,62.2772836625333,16.0,43.0,1,1.0,1
41,-108.043913543948,62.4957821798286,16.6,31.1,0,1.0,1
42,-127.65693699699,58.8277320004903,12.3,100.3,1,1.0,0
43,-127.276038996699,58.8945049969677,12.3,100.3,0,1.0,0
44,-108.34299038905,62.3575833351242,16.6,31.1,0,1.0,1
45,-119.429318231316,60.5842150122687,11.7,63.2,1,1.0,1
46,-109.203813779527,62.0861330701956,16.6,31.1,0,1.0,1
47,-111.106815244676,61.7253129617798,13.0,1.2,1,1.0,1
48,-117.626402629006,60.6371423842694,18.2,95.4,1,1.0,1
49,-112.008601926966,61.526107911537,14.8,26.0,0,1.0,1
50,-111.777047275599,61.1524356235014,14.9,18.5,1,1.0,1
51,-111.976981613134,61.0929607923333,14.8,26.0,1,1.0,1
52,-120.362727291863,59.5073105475744,14.3,13.8,0,1.0,1
53,-108.944458477823,61.2023690307501,11.4,43.1,1,1.0,0
54,-112.317706347947,60.5985917873367,18.2,61.4,1,1.0,1
55,-108.784981680601,60.9921160526152,13.8,5.6,0,1.0,0
56,-119.211093848181,59.3851504126865,14.3,36.8,0,1.0,1
57,-118.675415977353,59.4814755394384,15.1,37.2,0,1.0,1
58,-111.745192425816,60.4609067243557,14.9,18.5,1,1.0,1
59,-108.452986204172,60.7105972535114,13.8,5.6,0,1.0,1
60,-113.397945388084,60.1527997986436,14.8,26.0,1,1.0,1
61,-115.866736909906,59.6522289851976,16.3,99.4,0,1.0,1
62,-114.829862280494,59.8481805206028,9.6,52.3,0,1.0,1
63,-109.491897873728,60.0821290265131,13.8,5.6,0,1.0,1
64,-110.439689315764,59.965621975513,13.1,10.1,1,1.0,1
65,-113.450878066823,59.4905825148609,15.3,16.0,1,1.0,1
66,-102.103671903735,60.6746336933278,7.8,11.8,0,1.0,0
67,-109.952977649898,59.6213176486341,13.1,10.1,1,1.0,1
68,-117.881018001618,58.538440000016,12.8,32.0,0,1.0,1
69,-107.478908547557,60.0146721310597,13.8,5.6,1,1.0,1
70,-103.4122146469,60.3705552966407,13.0,39.6,0,1.0,1
71,-110.557129151948,59.6603103928772,19.4,55.8,1,1.0,1
72,-111.336116252311,59.3486616603241,13.1,10.1,1,1.0,1
73,-100.507062075123,60.0438743664446,7.8,11.8,0,1.0,1
74,-114.56711483243,58.5244101215472,12.1,42.8,1,1.0,1
75,-114.519932116439,58.4908505386703,9.8,8.4,0,1.0,1
76,-111.060315812372,57.82959408989,9.8,1.0,1,1.0,1
77,-108.197633065127,58.2705778289238,13.8,5.6,0,1.0,1
78,-103.549412431242,58.7889083807422,13.0,39.6,0,1.0,1
79,-101.179668208922,58.9637964556035,17.4,102.6,0,1.0,1
80,-63.6449479784821,54.5705599666041,13.4,137.5,0,1.0,0
81,-115.16245297181,57.1100762526,15.9,126.6,0,1.0,1
82,-115.715579231394,56.6890543109758,11.7,9.0,1,1.0,1
83,-93.9930376186109,58.4275910641954,14.2,101.4,0,1.0,1
84,-115.898724560824,56.5288487260454,11.7,9.0,5,1.0,1
85,-115.243763711413,56.5439955722506,11.7,9.7,0,1.0,1
86,-102.976533591983,57.9968882804911,13.0,39.6,0,1.0,1
87,-115.364799864331,56.1312114052994,10.3,3.2,0,1.0,1
88,-111.47346893151,56.9184356758754,12.4,10.5,1,1.0,1
89,-124.819884001578,53.9779480015255,5.6,16.0,1,1.0,1
90,-109.363264056311,56.9803948360205,14.3,42.6,1,1.0,1
91,-110.487308450692,56.9757638859673,14.3,42.6,1,1.0,1
92,-104.118238052389,57.4709420301226,13.3,30.2,1,1.0,1
93,-103.093248599867,57.5230083997019,13.0,39.6,0,1.0,1
94,-115.64744453437,55.8143909712611,11.9,8.9,0,1.0,1
95,-109.002930261856,56.8775679058497,14.8,100.6,0,1.0,1
96,-94.3529328079623,57.681702659666,14.2,101.4,0,1.0,1
97,-101.752533320578,57.082687455594,13.2,68.9,0,1.0,1
98,-114.982777885732,55.2982456822792,11.5,8.0,0,1.0,1
99,-114.679082959587,55.3879053197299,11.0,22.6,5,1.0,1
100,-107.845651700583,56.3956606995144,14.8,86.6,1,1.0,1
101,-91.1473020846127,57.0045990569002,18.4,32.0,0,1.0,0
102,-115.468162620138,55.0960091445256,9.8,30.6,5,1.0,1
103,-110.740790689925,55.9812477499118,11.7,8.6,0,1.0,1
104,-114.69571837593,55.2657842178894,11.5,8.0,1,1.0,1
105,-115.509481233477,54.957733214039,9.8,30.6,0,1.0,1
106,-115.340156703059,54.8554129972398,10.7,45.0,0,1.0,1
107,-104.163055992834,56.2686490294129,13.2,107.8,0,1.0,1
108,-95.2545741970387,56.5898429189914,13.4,30.0,0,1.0,1
